GPA,FamilyIncome,Sleep,District,StudyTime,Pass
2.9,82461,6.5,4,47,1
3.7,61113,6.2,6,47,1
2.8,63632,6.2,5,39,0
2,66854,7.2,5,49,1
2.8,82721,5.5,5,49,1
2.3,55724,5.4,6,19,0
2.2,83586,6.6,3,47,0
3.3,69267,4,5,33,0
2.1,75300,5,6,32,0
2.7,74283,4.9,5,49,1
3.9,47946,5.3,5,50,1
3.8,63519,6.5,5,46,1
3.5,90374,5.6,5,51,1
3.3,89650,5,6,23,0
3.3,72304,4.9,5,29,0
3.2,81132,5.9,5,31,0
3.2,79476,5.4,4,52,1
2.1,92054,6.3,5,36,0
3.8,56163,4.7,5,27,0
3.6,76776,5,5,44,1
3.5,99249,6.9,4,20,0
2.4,97529,6.5,5,42,1
3.9,55968,7.3,5,39,1
2.2,73982,6.2,5,42,1
3.3,77063,5.8,5,22,0
1.6,94692,7.1,5,33,0
2.6,44644,7.1,5,31,0
2.5,92901,5.6,5,46,1
2.3,96133,6.1,6,45,1
2.2,67637,7,5,34,0
3,64845,6.1,5,46,1
2.7,64171,7.9,3,20,0
3.7,66247,6.2,2,41,1
3.5,67303,5.5,4,37,1
2.8,42452,6.7,5,34,0
2,71247,6.4,7,35,1
2.8,55366,5.9,7,25,0
3.3,62272,4.9,6,25,0
3.1,68735,6.9,5,40,1
2.9,87823,5.4,4,60,1
1.8,81909,3.6,4,33,0
2.9,64947,3.2,6,37,0
2.3,56679,4.9,6,50,1
2.4,95230,6.7,4,25,0
2.6,60605,6.1,4,40,0
0.8,99910,4.7,4,44,0
3.4,72732,5.4,7,52,1
3.8,88827,7.5,6,27,1
3.9,71025,5.8,4,31,0
2.9,87856,5.7,5,43,1
3.2,89531,6.6,4,33,0
2.7,64886,6.5,7,21,0
3.5,65680,5.3,6,34,1
2.4,101296,4.1,6,58,1
3,72944,6.7,5,22,0
3.3,78991,5.9,6,33,1
3.4,61714,5.9,6,9,0
2.5,74741,6.7,6,29,0
1.9,83316,6,4,41,0
1.4,29224,4.4,6,48,0
2.7,86791,7.2,5,22,0
1.6,89926,6.2,6,34,0
2.3,56151,4,6,42,0
3.1,108999,5.6,5,59,1
3.3,81141,7.2,6,49,1
3.7,90741,6.6,3,32,0
4,87155,5.7,5,38,1
3.1,66329,5.3,4,46,1
3.1,78062,5.6,5,39,1
2.7,70122,5.7,5,48,1
3.9,117055,6.4,6,29,1
1.8,80027,5.7,5,49,0
3.3,80273,5.1,5,32,0
2.9,65925,2.9,5,64,1
3.6,68910,8.1,5,38,1
2.2,91910,6.9,6,50,1
1.6,84039,5.9,4,46,0
3,85768,5.5,6,33,0
2.6,52125,6.9,7,23,0
2.4,80966,5.9,5,52,1
1.1,72922,6.5,6,40,0
3.2,34860,5.4,5,44,1
3,84245,6.4,4,54,1
1.8,76399,5.7,4,35,0
2.1,67800,5.2,6,41,0
3.6,99853,4.5,5,42,1
2.9,108746,6.2,5,44,1
3.5,54529,5.7,6,29,0
2.5,77890,7.7,3,40,0
1.8,99047,7.1,7,34,1
1.9,72715,3.2,6,54,0
1.7,82691,5.1,6,44,0
2,61235,7,4,31,0
3.8,67663,5.3,4,19,0
2.7,80400,5.3,4,56,1
1.7,76124,6.4,6,50,1
2.9,72950,4,2,39,0
3.2,104278,7.3,4,49,1
2.8,79217,4.5,4,43,0
1.9,72017,5.6,4,40,0
2.5,51598,6.1,5,49,1
3.4,69140,5.6,4,41,1
2,79583,6.9,5,32,0
1.9,71536,5.5,6,37,0
2.9,63828,5.6,5,36,0
2,77546,4.9,4,41,0
2.5,101798,7.5,6,37,1
2.2,76850,6.9,4,52,1
3.7,117869,5.6,5,36,1
3.3,90829,4.5,7,37,1
2,82092,5.5,5,43,0
3.1,70044,6.6,5,28,0
2,77876,5,5,24,0
3.4,101340,5.5,6,29,0
3.9,69894,6.8,3,24,0
2.2,62296,5.5,4,40,0
3.4,56132,6.7,6,35,1
2.6,84262,5.8,5,55,1
3.2,67509,6.8,6,35,1
2.7,80666,5.9,5,36,0
3.8,64647,6.6,6,46,1
2.5,77561,5.3,5,41,0
2.7,79308,6.2,4,29,0
1.7,72312,7.2,5,38,1
3,72234,6.9,4,34,0
1.3,52484,5.8,5,46,0
3.4,85137,5,6,48,1
3.3,63622,6.2,5,46,1
2.7,72072,6.6,5,36,1
2.3,78090,7.1,5,47,1
2.4,79674,5.8,5,47,1
4,67835,3.4,5,36,0
2.6,47438,6.7,4,35,0
2.1,62847,5.1,4,46,0
2.3,55516,3.8,5,47,0
3.1,79408,4.3,5,32,0
3.5,78961,3.9,3,40,0
3.8,83658,6.9,4,49,1
3.6,76481,6.2,4,47,1
1.8,82158,3.3,4,45,0
1.5,67103,5.4,6,38,0
2.2,60756,5.9,3,55,1
2.6,78334,6,5,35,0
3,73657,6.5,5,55,1
3.4,43146,5.1,5,41,1
3.7,75554,6.2,5,29,0
3.5,99043,6.2,3,34,0
2.1,73865,5.6,5,60,1
3.3,68823,5,4,52,1
3.7,72771,5.9,5,58,1
2.9,66165,4.5,4,32,0
2.4,81240,5.8,4,52,1
2.8,97100,5.8,6,41,1
3.9,88314,8.6,4,39,1
3.9,99917,5.9,5,24,0
2.5,78563,6,6,43,1
2.9,59299,4.2,5,28,0
3,58626,5.9,4,44,1
3,91553,4.9,4,42,0
2.2,65121,5.5,5,29,0
2.5,51692,6.2,5,26,0
3.6,111942,7.6,4,41,1
3.8,38803,5.6,4,59,1
2.6,75308,7.7,6,29,1
3.1,65218,6.3,4,52,1
0.7,73714,5.8,3,48,0
2.5,74855,6,4,35,0
2.9,84879,5.8,3,45,1
2.2,72160,5.8,5,36,0
3.6,65155,7.2,5,53,1
2.6,85065,7.2,5,38,1
3.7,93934,5.7,5,32,0
3.6,70110,5.4,5,53,1
2.1,68864,8.4,5,18,0
2.5,92245,6.6,5,41,1
3.3,79856,6.1,5,34,1
1.7,82889,5.9,5,50,1
2.4,102937,4.7,4,42,0
2,69918,6.3,5,31,0
3.4,67411,5.4,5,44,1
3.5,88588,5,5,42,1
3,80062,5.7,4,48,1
2.7,67482,4.4,6,44,0
2.3,77286,7.3,6,49,1
2.8,52444,4.6,4,32,0
3.4,71607,6.4,4,57,1
1.8,75030,3.9,6,46,0
2.6,80573,6.2,8,44,1
2,70098,6.1,6,34,0
2.3,77701,4.9,6,49,1
2.2,71508,6,5,31,0
3.7,83076,6.5,4,39,1
1.9,79878,5.4,5,47,0
3.7,65708,5.9,7,47,1
3.2,93632,7.1,4,38,1
3.7,86501,5.3,4,54,1
2.3,89843,6.9,6,40,1
1.3,77814,5.6,6,47,0
