GPA,FamilyIncome,Sleep,District,StudyTime,Grade
2.9,82461,6.5,4,47,77
3.7,61113,6.2,6,47,94
2.8,63632,6.2,5,39,69
2,66854,7.2,5,49,81
2.8,82721,5.5,5,49,78
2.3,55724,5.4,6,19,43
2.2,83586,6.6,3,47,67
3.3,69267,4,5,33,54
2.1,75300,5,6,32,56
2.7,74283,4.9,5,49,71
3.9,47946,5.3,5,50,87
3.8,63519,6.5,5,46,91
3.5,90374,5.6,5,51,86
3.3,89650,5,6,23,54
3.3,72304,4.9,5,29,57
3.2,81132,5.9,5,31,66
3.2,79476,5.4,4,52,78
2.1,92054,6.3,5,36,65
3.8,56163,4.7,5,27,61
3.6,76776,5,5,44,74
3.5,99249,6.9,4,20,59
2.4,97529,6.5,5,42,74
3.9,55968,7.3,5,39,93
2.2,73982,6.2,5,42,72
3.3,77063,5.8,5,22,55
1.6,94692,7.1,5,33,58
2.6,44644,7.1,5,31,65
2.5,92901,5.6,5,46,73
2.3,96133,6.1,6,45,81
2.2,67637,7,5,34,66
3,64845,6.1,5,46,79
2.7,64171,7.9,3,20,54
3.7,66247,6.2,2,41,70
3.5,67303,5.5,4,37,70
2.8,42452,6.7,5,34,68
2,71247,6.4,7,35,73
2.8,55366,5.9,7,25,63
3.3,62272,4.9,6,25,55
3.1,68735,6.9,5,40,79
2.9,87823,5.4,4,60,84
1.8,81909,3.6,4,33,32
2.9,64947,3.2,6,37,54
2.3,56679,4.9,6,50,72
2.4,95230,6.7,4,25,52
2.6,60605,6.1,4,40,65
0.8,99910,4.7,4,44,43
3.4,72732,5.4,7,52,95
3.8,88827,7.5,6,27,82
3.9,71025,5.8,4,31,66
2.9,87856,5.7,5,43,73
3.2,89531,6.6,4,33,69
2.7,64886,6.5,7,21,61
3.5,65680,5.3,6,34,71
2.4,101296,4.1,6,58,76
3,72944,6.7,5,22,54
3.3,78991,5.9,6,33,70
3.4,61714,5.9,6,9,45
2.5,74741,6.7,6,29,68
1.9,83316,6,4,41,60
1.4,29224,4.4,6,48,62
2.7,86791,7.2,5,22,60
1.6,89926,6.2,6,34,62
2.3,56151,4,6,42,61
3.1,108999,5.6,5,59,93
3.3,81141,7.2,6,49,99
3.7,90741,6.6,3,32,65
4,87155,5.7,5,38,81
3.1,66329,5.3,4,46,70
3.1,78062,5.6,5,39,73
2.7,70122,5.7,5,48,75
3.9,117055,6.4,6,29,76
1.8,80027,5.7,5,49,68
3.3,80273,5.1,5,32,61
2.9,65925,2.9,5,64,78
3.6,68910,8.1,5,38,91
2.2,91910,6.9,6,50,87
1.6,84039,5.9,4,46,62
3,85768,5.5,6,33,64
2.6,52125,6.9,7,23,66
2.4,80966,5.9,5,52,79
1.1,72922,6.5,6,40,63
3.2,34860,5.4,5,44,76
3,84245,6.4,4,54,86
1.8,76399,5.7,4,35,50
2.1,67800,5.2,6,41,63
3.6,99853,4.5,5,42,71
2.9,108746,6.2,5,44,80
3.5,54529,5.7,6,29,68
2.5,77890,7.7,3,40,69
1.8,99047,7.1,7,34,71
1.9,72715,3.2,6,54,63
1.7,82691,5.1,6,44,61
2,61235,7,4,31,57
3.8,67663,5.3,4,19,51
2.7,80400,5.3,4,56,79
1.7,76124,6.4,6,50,82
2.9,72950,4,2,39,41
3.2,104278,7.3,4,49,89
2.8,79217,4.5,4,43,60
1.9,72017,5.6,4,40,55
2.5,51598,6.1,5,49,78
3.4,69140,5.6,4,41,71
2,79583,6.9,5,32,60
1.9,71536,5.5,6,37,59
2.9,63828,5.6,5,36,67
2,77546,4.9,4,41,54
2.5,101798,7.5,6,37,81
2.2,76850,6.9,4,52,81
3.7,117869,5.6,5,36,71
3.3,90829,4.5,7,37,74
2,82092,5.5,5,43,66
3.1,70044,6.6,5,28,67
2,77876,5,5,24,39
3.4,101340,5.5,6,29,66
3.9,69894,6.8,3,24,63
2.2,62296,5.5,4,40,55
3.4,56132,6.7,6,35,81
2.6,84262,5.8,5,55,81
3.2,67509,6.8,6,35,83
2.7,80666,5.9,5,36,65
3.8,64647,6.6,6,46,96
2.5,77561,5.3,5,41,66
2.7,79308,6.2,4,29,58
1.7,72312,7.2,5,38,70
3,72234,6.9,4,34,67
1.3,52484,5.8,5,46,63
3.4,85137,5,6,48,84
3.3,63622,6.2,5,46,83
2.7,72072,6.6,5,36,70
2.3,78090,7.1,5,47,84
2.4,79674,5.8,5,47,72
4,67835,3.4,5,36,60
2.6,47438,6.7,4,35,63
2.1,62847,5.1,4,46,59
2.3,55516,3.8,5,47,57
3.1,79408,4.3,5,32,51
3.5,78961,3.9,3,40,56
3.8,83658,6.9,4,49,93
3.6,76481,6.2,4,47,85
1.8,82158,3.3,4,45,40
1.5,67103,5.4,6,38,56
2.2,60756,5.9,3,55,74
2.6,78334,6,5,35,67
3,73657,6.5,5,55,94
3.4,43146,5.1,5,41,71
3.7,75554,6.2,5,29,68
3.5,99043,6.2,3,34,63
2.1,73865,5.6,5,60,82
3.3,68823,5,4,52,77
3.7,72771,5.9,5,58,95
2.9,66165,4.5,4,32,51
2.4,81240,5.8,4,52,74
2.8,97100,5.8,6,41,75
3.9,88314,8.6,4,39,93
3.9,99917,5.9,5,24,64
2.5,78563,6,6,43,76
2.9,59299,4.2,5,28,47
3,58626,5.9,4,44,71
3,91553,4.9,4,42,64
2.2,65121,5.5,5,29,51
2.5,51692,6.2,5,26,56
3.6,111942,7.6,4,41,89
3.8,38803,5.6,4,59,95
2.6,75308,7.7,6,29,74
3.1,65218,6.3,4,52,85
0.7,73714,5.8,3,48,50
2.5,74855,6,4,35,59
2.9,84879,5.8,3,45,72
2.2,72160,5.8,5,36,61
3.6,65155,7.2,5,53,100
2.6,85065,7.2,5,38,75
3.7,93934,5.7,5,32,68
3.6,70110,5.4,5,53,89
2.1,68864,8.4,5,18,58
2.5,92245,6.6,5,41,73
3.3,79856,6.1,5,34,71
1.7,82889,5.9,5,50,70
2.4,102937,4.7,4,42,57
2,69918,6.3,5,31,56
3.4,67411,5.4,5,44,75
3.5,88588,5,5,42,71
3,80062,5.7,4,48,76
2.7,67482,4.4,6,44,68
2.3,77286,7.3,6,49,93
2.8,52444,4.6,4,32,49
3.4,71607,6.4,4,57,94
1.8,75030,3.9,6,46,55
2.6,80573,6.2,8,44,92
2,70098,6.1,6,34,61
2.3,77701,4.9,6,49,70
2.2,71508,6,5,31,58
3.7,83076,6.5,4,39,77
1.9,79878,5.4,5,47,67
3.7,65708,5.9,7,47,95
3.2,93632,7.1,4,38,76
3.7,86501,5.3,4,54,81
2.3,89843,6.9,6,40,74
1.3,77814,5.6,6,47,66
2.7,97863,10.1,5,34,95
3.7,78197,4.7,5,46,76
1.6,90174,6.8,4,45,68
2.5,79079,6.9,4,24,53
2.1,76774,6.5,4,45,70
3.5,87346,5.2,6,49,85
2.8,55428,6.4,6,35,71
2.7,92294,6.1,5,28,56
2.5,71271,5.1,5,40,65
2.1,60208,5.3,4,36,49
2.3,73974,6.1,4,26,47
3.4,79595,5.3,4,48,77
2.2,98195,4.4,5,44,60
3.1,89005,4.5,6,36,64
3.4,61668,6.9,6,33,80
2.4,51108,6.6,5,51,85
3.7,68037,6.3,6,39,83
2.2,64600,6.8,7,27,65
2.8,51116,4.8,5,32,57
1.4,73457,7.6,6,42,77
1.4,80731,6.1,7,44,69
2.5,86065,4.2,4,51,63
1.7,79883,5.4,6,48,69
2.2,59096,7.5,6,29,68
1.9,101396,6.1,4,41,61
2.7,84736,6,4,47,73
2.5,77812,5.7,5,53,78
2.5,72729,4.6,6,37,61
3.9,65560,7.1,7,39,98
3.5,72924,6.2,2,45,73
1.6,60142,5.4,5,39,54
3.1,75054,7.3,4,44,85
1.5,69428,7.5,4,43,69
3,76651,6.1,5,37,70
3.1,65274,4.9,4,24,47
3.9,72429,6.3,5,33,76
2.9,55844,8,5,32,76
3.3,69095,6,5,41,77
2.9,52451,5.3,4,34,58
2.2,75085,6.4,6,35,66
3.2,45240,5.8,4,16,45
2,78546,5.5,5,24,44
3.7,92679,6,5,33,74
1.5,75247,7,5,50,76
3.3,87457,6.8,6,31,79
2.1,75975,7.9,5,44,84
3.9,69306,5.5,5,44,85
2.1,80320,7.2,6,40,78
2.9,80462,7.1,6,33,77
3.6,76237,4.9,4,44,72
3,51358,7.2,5,52,97
3.6,78356,4.4,5,30,55
3.3,73056,6.9,6,54,100
2.3,48081,6.3,6,31,65
2.1,63159,7.2,4,39,68
3.5,73725,6,5,35,75
3.9,81438,6.4,5,47,91
3,60821,6.8,4,46,82
3.5,87438,5.8,3,35,65
3.2,68012,6.7,6,52,99
2.2,54623,6.3,4,36,57
1.5,73445,5.4,5,38,52
1,61465,6.3,5,44,61
3.2,68184,5.9,4,39,66
3.5,83579,6.9,5,38,86
2.5,87450,6.1,5,39,69
2.9,84439,5.5,5,36,67
3.5,49268,7,5,39,86
3.2,66573,6.6,6,25,69
3.2,69200,5.2,6,38,71
3.2,79231,5.4,6,61,97
3.1,71509,6,5,49,84
2.8,91431,7.4,4,37,75
3.7,44485,6.1,7,28,76
2.9,80303,6.8,4,45,77
3.2,56585,7,5,43,86
2.4,69526,6.5,5,37,67
1.6,115055,6.3,4,29,43
3.6,66269,3.9,7,34,66
2.1,78323,7.6,5,34,72
2.4,101224,7.3,5,37,76
3.7,69913,6.3,4,44,84
3.6,50622,4.3,5,31,57
3.2,66492,6.3,6,41,86
3.6,94170,6.6,5,30,74
3.1,117338,5.8,5,38,70
2,82078,6.2,4,30,53
3.1,71791,6.8,5,40,80
2.6,45249,5.3,5,35,59
2,80968,7,6,32,71
2.5,94793,5.5,5,44,67
1.6,49214,5,4,53,62
2.1,88662,8.5,6,53,99
2.6,71190,5.9,4,38,60
2.6,70502,8.4,5,44,89
1.7,73622,5,5,40,52
2,74654,8.7,3,28,62
3.3,67356,4.8,4,35,58
2.5,65240,7.3,6,43,87
3.2,41459,6.3,5,51,89
1.1,82029,5.3,4,41,44
1.7,50514,3.7,6,21,26
2,75692,6.5,5,37,65
3,59195,5.6,4,36,62
3.9,73886,6.4,5,34,78
3.3,68149,5.2,7,38,78
3.2,47121,6.5,4,53,91
3.7,52395,5.8,5,46,83
2,72757,7,5,40,71
3.4,95084,5.4,6,41,78
3.2,75184,6.7,6,40,84
2.1,78862,7.5,4,30,62
2.5,88838,5.7,5,42,69
3.4,54071,6.7,5,51,91
3.9,49427,4.8,5,53,89
2.4,69732,6.7,6,29,65
3.4,49890,4.7,6,52,84
1.6,91703,7.2,5,41,70
3.2,70245,5.1,5,34,62
3.5,47322,5.8,4,37,69
2.1,79264,6.6,6,35,67
0.8,82644,5,4,49,48
2.8,90944,5.2,4,36,57
2.9,84427,7.9,3,38,77
3.9,83074,6.7,7,35,91
1.5,61930,5.4,4,49,62
3.7,92544,6.9,6,30,81
3.1,80557,3.6,7,37,64
2.7,62988,5.5,3,33,51
2.2,56093,7.7,5,42,83
2.5,51019,6.9,5,64,98
1.9,82211,7.7,5,53,88
1.4,56377,6.2,4,45,61
3,82559,4.3,6,47,76
3.6,89992,6.2,6,32,75
2.4,84292,5.7,3,31,49
3.9,73827,5.8,5,41,78
2.5,58565,4.3,5,35,52
3.5,63088,7.6,5,31,82
2.4,102594,5.5,3,38,55
3.5,86029,4.6,4,40,65
1.9,77125,5.7,6,38,63
3.6,81160,3.6,6,27,51
3.9,93141,6.3,3,37,70
3.8,107742,4.7,5,53,86
3.9,83213,5.6,5,52,93
2.7,76871,6,3,41,61
3.7,80763,7.4,5,27,78
3.5,78549,7.5,4,28,74
3,74259,6.8,4,40,73
2,49827,7.2,4,39,66
2,100915,4.3,5,35,48
3.5,83576,7.7,4,29,76
3.2,72640,6,4,24,52
2.8,81693,6.3,5,39,75
2.1,88468,4.8,5,31,49
2.5,80263,7.2,6,26,69
2.8,80455,5.4,5,45,71
2.4,76043,6.1,4,34,56
3.2,69168,7.1,6,32,83
3.1,79493,6.1,5,39,75
2.2,86535,6.7,5,33,63
3.1,68015,6.9,4,53,91
3.2,97643,6.4,5,47,85
3.1,44720,5.6,4,50,80
2.9,73653,5.6,5,29,58
4,64912,8,5,32,90
1.6,94365,7.1,5,53,84
2.5,68071,3.7,6,22,41
1.4,95590,6.9,5,44,69
3.2,84247,7.4,5,47,91
3.4,51069,4.4,4,51,75
2.1,88271,6.1,5,44,70
2.4,65262,5.5,4,40,61
3.3,104020,6,6,32,70
1.7,45832,5.7,5,15,32
3.7,101628,4.6,4,22,47
3.7,80897,3.9,3,47,66
1.8,43513,7.2,6,34,68
2.5,90242,6.3,6,31,66
3.3,63819,7,6,38,86
3.5,87495,6.8,4,23,60
3.9,84009,5,6,27,68
3.3,74967,4,3,55,70
1.6,73359,6,5,60,81
3.4,82292,6.4,5,27,67
3.3,73151,5.4,6,33,66
2.4,71817,6,6,17,47
2.5,51038,6.8,4,41,71
1.4,93895,5.1,4,28,35
2.4,88866,5.3,5,36,60
3.8,79369,5.9,7,35,84
3,72729,5.6,6,41,75
4,90877,4.8,4,50,82
2.5,56760,6.7,5,27,60
3.8,80114,6.4,4,60,100
1.8,68011,5.2,5,33,50
2.9,86343,6.9,5,42,80
2.7,99909,6,5,31,60
2.2,79503,6,6,24,52
3.3,88505,4.6,4,30,50
3.3,77672,5.4,5,40,73
1.6,78663,5.3,5,17,30
2,67738,8.1,3,42,73
2.9,63766,5.5,6,25,58
1.9,71710,6,7,40,72
1.5,76994,6.8,5,33,59
2.7,89512,5.9,6,29,60
2.7,59295,7.1,4,32,65
2.2,82316,7.4,4,28,61
0.8,72884,7.1,5,47,69
2.4,96697,7.2,7,49,93
2.2,64913,6.2,4,43,67
1.2,78394,6.3,6,61,88
3.4,71386,7,5,45,92
3.4,93930,5.5,4,19,46
2.7,80761,5.9,7,26,67
3.3,63336,6.6,6,46,91
3.6,66953,4.3,5,42,69
1.9,87054,5,5,51,71
1.8,85284,6,5,36,62
1.7,66909,6.7,4,40,62
3.4,77178,4.8,5,26,53
2.8,69136,6.5,5,39,73
1.6,92791,5.6,4,44,57
3.5,51191,6.8,5,43,87
2.5,69884,7,5,48,85
3.2,60703,5.1,4,45,71
3.9,77514,7.9,5,34,88
3.4,77225,5.2,4,26,51
2.6,77592,6.4,6,50,85
3.6,69642,6.5,5,41,83
1.7,96922,6.6,3,30,46
2.8,73013,4.9,6,35,59
2.4,58999,6.5,6,36,71
1.4,75999,5.5,6,42,60
2.6,55800,3.4,6,43,61
2.8,102083,6.8,7,32,79
1.7,90625,7.2,4,42,65
3.2,68636,7.9,4,26,70
